Unnamed: 0,Price,Area,Baths,Beds,Latitude,Longitude,Month,Year,country,suburb,road,municipality,state,postcode
22900,19800.0,53.0,1.0,3.0,3.494,-76.497,5,2019,Colombia,Comuna 6,Calle 72C,Not found,Valle del Cauca,760006.0
22901,15750.0,56.0,1.0,3.0,3.479,-76.498,5,2019,Colombia,Comuna 5,Calle 61,Not found,Valle del Cauca,750004.0
22902,28125.0,58.0,1.0,3.0,3.47,-76.51,5,2019,Colombia,Comuna 4,Calle 44,Not found,Valle del Cauca,760003.0
22904,19575.0,55.0,1.0,3.0,3.252,-76.536,5,2019,Colombia,Not found,Carrera 3 Sur,Not found,Valle del Cauca,764001.0
22906,41625.0,57.0,1.0,3.0,4.598,-74.163,5,2019,Colombia,Localidad Bosa,Calle 57F Sur,Not found,Not found,110741.0
22908,20250.0,39.0,2.0,1.0,4.823,-75.696,5,2019,Colombia,Not found,Transversal 5,Not found,Risaralda,661002.0
22911,54652.5,86.0,2.0,2.0,3.358,-76.51899999999999,5,2019,Colombia,Not found,Calle 43,Not found,Valle del Cauca,720001.0
22914,58500.0,72.0,2.0,2.0,3.49,-76.521,5,2019,Colombia,Comuna 2,Calle 58 Norte,Not found,Valle del Cauca,760050.0
22917,33750.0,56.0,2.0,2.0,3.266,-76.539,5,2019,Colombia,Celeste,Carrera 12A,Not found,Valle del Cauca,764001.0
22919,52567.653375,60.0,2.0,2.0,4.579,-74.127,5,2019,Colombia,Localidad Rafael Uribe Uribe,Avenida Carrera 24,Not found,Not found,111811.0
22920,63000.0,61.0,2.0,2.0,4.633,-74.071,5,2019,Colombia,Localidad Chapinero,Calle 45,Not found,Not found,110231.0
22921,100125.0,78.0,2.0,2.0,4.649,-74.07300000000001,5,2019,Colombia,Localidad Teusaquillo,Avenida Carrera 24,Not found,Not found,111311.0
22922,85500.0,72.0,2.0,2.0,4.725,-74.03,5,2019,Colombia,Localidad Usaquén,Not found,Not found,Not found,110131.0
22923,90000.0,70.0,2.0,2.0,4.702,-74.056,5,2019,Colombia,Not found,Calle 120,Not found,Not found,111111.0
22924,76500.0,72.0,2.0,2.0,4.729,-74.04,5,2019,Colombia,Localidad Usaquén,Calle 147,Not found,Not found,110131.0
22925,54255.153375,60.0,2.0,2.0,4.579,-74.127,5,2019,Colombia,Localidad Rafael Uribe Uribe,Avenida Carrera 24,Not found,Not found,111811.0
22926,58500.0,57.0,2.0,2.0,4.746,-74.058,5,2019,Colombia,Not found,Carrera 55C,Not found,Not found,111156.0
22929,24750.0,171.0,2.0,3.0,7.899,-72.47800000000001,5,2019,Colombia,Not found,Not found,Not found,Norte de Santander,540004.0
22930,29250.0,70.0,2.0,3.0,7.906000000000001,-72.521,5,2019,Colombia,Not found,Calle 4BN,Not found,Norte de Santander,540013.0
22932,191250.0,151.0,2.0,3.0,4.882,-74.033,5,2019,Colombia,Bojacá,Not found,Not found,Not found,250008.0
22933,33750.0,165.0,2.0,3.0,3.544,-76.312,5,2019,Colombia,Not found,Calle 49A,Not found,Valle del Cauca,763531.0
22934,40500.0,200.0,2.0,3.0,4.805,-75.808,5,2019,Colombia,Not found,Galicia,Pereira,Risaralda,660007.0
22935,74250.0,164.0,2.0,3.0,3.257,-76.566,5,2019,Colombia,Condominio Rinçon De las Mereces,Not found,Not found,Valle del Cauca,764001.0
22937,31050.0,50.0,2.0,3.0,3.477,-76.498,5,2019,Colombia,Comuna 5,Calle 58A 1,Not found,Valle del Cauca,750004.0
22938,29700.0,54.0,2.0,3.0,3.47,-76.51,5,2019,Colombia,Comuna 4,Calle 44,Not found,Valle del Cauca,760003.0
22939,37125.0,80.0,2.0,3.0,3.386,-76.546,5,2019,Colombia,Comuna 18,Calle 4,Not found,Valle del Cauca,760035.0
22940,40500.0,65.0,2.0,3.0,3.47,-76.51,5,2019,Colombia,Comuna 4,Calle 44,Not found,Valle del Cauca,760003.0
22941,51750.0,73.0,2.0,3.0,3.3960000000000004,-76.53,5,2019,Colombia,Comuna 17,Carrera 68,Not found,Valle del Cauca,760033.0
22942,51750.0,66.0,2.0,3.0,3.4,-76.53699999999999,5,2019,Colombia,Comuna 17,Calle 13,Not found,Valle del Cauca,760033.0
22943,49500.0,70.0,2.0,3.0,3.36,-76.517,5,2019,Colombia,Not found,Carrera 108,Not found,Valle del Cauca,720001.0
22944,32827.5,66.0,2.0,3.0,4.718999999999999,-74.204,5,2019,Colombia,Not found,Carrera 13,Not found,Not found,250020.0
22946,31500.0,59.0,2.0,3.0,3.264,-76.547,5,2019,Colombia,Celeste,Calle 8,Not found,Valle del Cauca,764001.0
22947,29250.0,59.0,2.0,3.0,3.263,-76.544,5,2019,Colombia,Celeste,Transversal 15,Not found,Valle del Cauca,764001.0
22948,30375.0,55.0,2.0,3.0,4.711,-74.2,5,2019,Colombia,Not found,Calle 23,Not found,Not found,250020.0
22950,83250.0,84.0,2.0,3.0,4.675,-74.09899999999999,5,2019,Colombia,Localidad Engativá,Carrera 70B,Not found,Not found,111061.0
22951,99000.0,96.0,2.0,3.0,4.763,-74.046,5,2019,Colombia,Not found,Calle 185,Not found,Not found,111166.0
22952,51750.0,65.0,2.0,3.0,4.747,-74.057,5,2019,Colombia,Not found,Carrera 55A,Not found,Not found,111156.0
22953,94500.0,87.0,2.0,3.0,4.732,-74.036,5,2019,Colombia,Localidad Usaquén,Calle 152A,Not found,Not found,110131.0
